epoch, max, min, mean, standev
1, 5210.000000, 2201.000000, 3335.228155, 459.880834
2, 4402.000000, 2624.000000, 3390.839623, 415.717283
3, 4430.000000, 2459.000000, 3411.838095, 392.696720
4, 4330.000000, 2467.000000, 3359.548077, 418.075268
5, 4277.000000, 2607.000000, 3419.735849, 399.733514
6, 4303.000000, 2656.000000, 3385.105769, 363.022637
7, 4382.000000, 2478.000000, 3435.600000, 378.380903
8, 4268.000000, 2473.000000, 3416.028571, 430.655236
9, 4393.000000, 2487.000000, 3407.933333, 398.664580
10, 4408.000000, 2250.000000, 3456.355769, 409.210533
11, 4735.000000, 2449.000000, 3378.801887, 407.609744
12, 4275.000000, 2434.000000, 3390.865385, 365.347901
13, 4525.000000, 2683.000000, 3383.905660, 365.578460
14, 4161.000000, 2645.000000, 3349.438095, 352.532211
15, 4309.000000, 2677.000000, 3383.307692, 379.217925
16, 4111.000000, 2632.000000, 3351.186916, 326.130346
17, 4519.000000, 2626.000000, 3421.707547, 348.463210
18, 4485.000000, 2652.000000, 3390.471154, 359.612493
19, 4049.000000, 2726.000000, 3302.342857, 324.364670
20, 4115.000000, 2663.000000, 3383.262136, 331.059557
21, 4434.000000, 2406.000000, 3415.669811, 344.811604
22, 4019.000000, 2682.000000, 3383.819048, 267.550778
23, 4458.000000, 2709.000000, 3414.407767, 313.553430
24, 4222.000000, 2693.000000, 3424.169811, 311.989147
25, 4091.000000, 2626.000000, 3345.339623, 338.746397
26, 4217.000000, 2663.000000, 3329.858491, 300.534839
27, 4311.000000, 2597.000000, 3326.394231, 342.908304
28, 4236.000000, 2459.000000, 3338.466667, 339.412900
29, 4198.000000, 2233.000000, 3322.152381, 366.550521
30, 3928.000000, 2317.000000, 3227.692308, 336.394621
31, 3968.000000, 2259.000000, 3253.547170, 326.981378
32, 4347.000000, 2422.000000, 3265.605769, 328.435196
33, 4038.000000, 2647.000000, 3243.452830, 288.874998
34, 3872.000000, 2240.000000, 3212.047619, 322.016883
35, 3913.000000, 2240.000000, 3211.368932, 339.781360
36, 3981.000000, 2413.000000, 3204.438095, 292.200864
37, 3833.000000, 2669.000000, 3236.771429, 273.179789
38, 4000.000000, 2244.000000, 3153.269231, 308.518799
39, 4049.000000, 2289.000000, 3193.913462, 297.655568
40, 3889.000000, 1855.000000, 3123.047619, 357.723501
41, 3907.000000, 2235.000000, 3166.644860, 333.628911
42, 4088.000000, 2234.000000, 3160.396226, 329.007937
43, 3869.000000, 2163.000000, 3153.592233, 359.597363
44, 4231.000000, 2216.000000, 3160.771429, 395.131095
45, 3645.000000, 2245.000000, 3098.046729, 323.618585
46, 3826.000000, 2223.000000, 3089.666667, 360.833668
47, 4002.000000, 2140.000000, 3137.048077, 327.788482
48, 4353.000000, 2192.000000, 3112.259615, 367.234800
49, 4294.000000, 2200.000000, 3141.771429, 364.679977
50, 4285.000000, 2212.000000, 3134.481132, 349.040705
51, 4136.000000, 2233.000000, 3141.000000, 340.710626
52, 4016.000000, 2040.000000, 3115.349057, 378.961087
53, 4073.000000, 2271.000000, 3141.028846, 380.036622
54, 4063.000000, 2188.000000, 3104.542056, 353.350974
55, 3914.000000, 2241.000000, 3168.523810, 362.163135
56, 3860.000000, 2233.000000, 3109.424528, 341.834824
57, 4292.000000, 2216.000000, 3104.018868, 384.449612
58, 3933.000000, 2267.000000, 3088.563107, 375.735662
59, 4158.000000, 2292.000000, 3133.105769, 336.363416
60, 4145.000000, 2213.000000, 3185.676190, 380.145885
61, 3731.000000, 2209.000000, 3138.866667, 352.662539
62, 3973.000000, 2242.000000, 3097.471698, 361.498527
63, 4355.000000, 2194.000000, 3122.846154, 405.393558
64, 4277.000000, 2209.000000, 3090.188679, 382.539686
65, 3869.000000, 2197.000000, 3054.859813, 381.175007
66, 3728.000000, 2233.000000, 3080.828571, 347.941321
67, 3789.000000, 2199.000000, 3072.490566, 390.117546
68, 3979.000000, 2277.000000, 3063.346154, 326.592789
69, 3992.000000, 2211.000000, 3097.103774, 343.330964
70, 4063.000000, 2229.000000, 3087.557692, 389.132514
71, 4075.000000, 2317.000000, 3126.970874, 337.832203
72, 4081.000000, 2002.000000, 3066.586538, 400.232302
73, 4117.000000, 2222.000000, 3082.112150, 381.396375
74, 3678.000000, 2224.000000, 3040.398058, 340.858614
75, 3831.000000, 2215.000000, 3061.798077, 329.885399
76, 4141.000000, 2260.000000, 3141.409524, 368.048588
77, 4123.000000, 2215.000000, 3129.538462, 367.101079
78, 3883.000000, 2286.000000, 3122.336538, 317.409191
79, 3875.000000, 2211.000000, 3127.038095, 365.972648
80, 4122.000000, 2211.000000, 3031.980952, 413.021139
81, 3789.000000, 2235.000000, 3098.933333, 374.043711
82, 3717.000000, 2219.000000, 3072.650943, 393.208827
83, 3988.000000, 2236.000000, 3041.915094, 363.130545
84, 4004.000000, 2229.000000, 3086.018868, 399.312456
85, 4129.000000, 2093.000000, 3084.447619, 384.679237
86, 4215.000000, 2035.000000, 3143.990566, 379.519307
87, 4052.000000, 2193.000000, 3099.056604, 374.705899
88, 3962.000000, 2236.000000, 3174.288462, 355.790346
89, 4097.000000, 2215.000000, 3091.561905, 458.508345
90, 3912.000000, 2201.000000, 3136.028037, 407.861784
91, 4213.000000, 2191.000000, 3147.650943, 414.399210
92, 4169.000000, 2235.000000, 3133.285714, 366.260907
93, 3644.000000, 2216.000000, 3153.115385, 294.777003
94, 3865.000000, 2265.000000, 3111.423077, 341.045642
95, 3892.000000, 2205.000000, 3100.570093, 355.095632
96, 4066.000000, 2182.000000, 3132.653846, 341.403351
