epoch, max, min, mean, standev
1, 2.666667, 0.000000, 0.368932, 0.679411
2, 2.666667, 0.000000, 0.289308, 0.663605
3, 2.666667, 0.000000, 0.368254, 0.653596
4, 1.333333, 0.000000, 0.269231, 0.537839
5, 2.666667, 0.000000, 0.477987, 0.762922
6, 4.000000, 0.000000, 0.307692, 0.700889
7, 2.666667, 0.000000, 0.431746, 0.703963
8, 2.666667, 0.000000, 0.253968, 0.557627
9, 4.000000, 0.000000, 0.330159, 0.710867
10, 2.666667, 0.000000, 0.410256, 0.789946
11, 2.666667, 0.000000, 0.440252, 0.774661
12, 2.666667, 0.000000, 0.307692, 0.622644
13, 2.666667, 0.000000, 0.352201, 0.645424
14, 2.666667, 0.000000, 0.393651, 0.714294
15, 2.666667, 0.000000, 0.282051, 0.606988
16, 2.666667, 0.000000, 0.336449, 0.636907
17, 2.666667, 0.000000, 0.314465, 0.625440
18, 2.666667, 0.000000, 0.410256, 0.671874
19, 2.666667, 0.000000, 0.380952, 0.659300
20, 2.666667, 0.000000, 0.362460, 0.703410
21, 2.666667, 0.000000, 0.415094, 0.721274
22, 2.666667, 0.000000, 0.292063, 0.612713
23, 2.666667, 0.000000, 0.401294, 0.694452
24, 2.666667, 0.000000, 0.389937, 0.711912
25, 2.666667, 0.000000, 0.264151, 0.564781
26, 2.666667, 0.000000, 0.389937, 0.687718
27, 2.666667, 0.000000, 0.333333, 0.663423
28, 4.000000, 0.000000, 0.469841, 0.761935
29, 2.666667, 0.000000, 0.355556, 0.647590
30, 2.666667, 0.000000, 0.256410, 0.618365
31, 2.666667, 0.000000, 0.377358, 0.706846
32, 2.666667, 0.000000, 0.448718, 0.685446
33, 2.666667, 0.000000, 0.314465, 0.625440
34, 2.666667, 0.000000, 0.266667, 0.596285
35, 2.666667, 0.000000, 0.284790, 0.637273
36, 1.333333, 0.000000, 0.215873, 0.493507
37, 2.666667, 0.000000, 0.317460, 0.654343
38, 2.666667, 0.000000, 0.256410, 0.559763
39, 4.000000, 0.000000, 0.294872, 0.718544
40, 2.666667, 0.000000, 0.457143, 0.735627
41, 5.333333, 0.000000, 0.398754, 0.863224
42, 2.666667, 0.000000, 0.327044, 0.658652
43, 4.000000, 0.000000, 0.453074, 0.759621
44, 2.666667, 0.000000, 0.279365, 0.632327
45, 2.666667, 0.000000, 0.336449, 0.662717
46, 2.666667, 0.000000, 0.393651, 0.760652
47, 2.666667, 0.000000, 0.384615, 0.687018
48, 1.333333, 0.000000, 0.307692, 0.564487
49, 4.000000, 0.000000, 0.393651, 0.760652
50, 4.000000, 0.000000, 0.465409, 0.863951
51, 2.666667, 0.000000, 0.292063, 0.612713
52, 2.666667, 0.000000, 0.402516, 0.716719
53, 4.000000, 0.000000, 0.448718, 0.822774
54, 2.666667, 0.000000, 0.261682, 0.591746
55, 4.000000, 0.000000, 0.419048, 0.769377
56, 2.666667, 0.000000, 0.352201, 0.695914
57, 2.666667, 0.000000, 0.352201, 0.618635
58, 2.666667, 0.000000, 0.401294, 0.742954
59, 2.666667, 0.000000, 0.294872, 0.642453
60, 2.666667, 0.000000, 0.368254, 0.679246
61, 1.333333, 0.000000, 0.266667, 0.535891
62, 4.000000, 0.000000, 0.440252, 0.796217
63, 2.666667, 0.000000, 0.320513, 0.629931
64, 2.666667, 0.000000, 0.377358, 0.657195
65, 4.000000, 0.000000, 0.336449, 0.711533
66, 4.000000, 0.000000, 0.380952, 0.820971
67, 4.000000, 0.000000, 0.415094, 0.766786
68, 2.666667, 0.000000, 0.333333, 0.636875
69, 2.666667, 0.000000, 0.201258, 0.513684
70, 2.666667, 0.000000, 0.384615, 0.735550
71, 4.000000, 0.000000, 0.466019, 0.828864
72, 2.666667, 0.000000, 0.294872, 0.668779
73, 4.000000, 0.000000, 0.286604, 0.635182
74, 4.000000, 0.000000, 0.440129, 0.800617
75, 2.666667, 0.000000, 0.384615, 0.661418
76, 4.000000, 0.000000, 0.368254, 0.795183
77, 4.000000, 0.000000, 0.397436, 0.740385
78, 2.666667, 0.000000, 0.282051, 0.606988
79, 2.666667, 0.000000, 0.253968, 0.615893
80, 2.666667, 0.000000, 0.355556, 0.620633
81, 2.666667, 0.000000, 0.380952, 0.732967
82, 2.666667, 0.000000, 0.339623, 0.639082
83, 2.666667, 0.000000, 0.276730, 0.602414
84, 2.666667, 0.000000, 0.339623, 0.665047
85, 2.666667, 0.000000, 0.406349, 0.669834
86, 2.666667, 0.000000, 0.402516, 0.762504
87, 2.666667, 0.000000, 0.364780, 0.651459
88, 2.666667, 0.000000, 0.320513, 0.601908
89, 2.666667, 0.000000, 0.355556, 0.620633
90, 2.666667, 0.000000, 0.348910, 0.717238
91, 2.666667, 0.000000, 0.415094, 0.721274
92, 4.000000, 0.000000, 0.342857, 0.667399
93, 4.000000, 0.000000, 0.551282, 0.883468
94, 2.666667, 0.000000, 0.525641, 0.729546
95, 2.666667, 0.000000, 0.323988, 0.603029
96, 2.666667, 0.000000, 0.410256, 0.767786
97, 2.666667, 0.000000, 0.279365, 0.604689
98, 2.666667, 0.000000, 0.292063, 0.666178
99, 2.666667, 0.000000, 0.362460, 0.651973
100, 2.666667, 0.000000, 0.292063, 0.584148
101, 2.666667, 0.000000, 0.393651, 0.664710
102, 2.666667, 0.000000, 0.346154, 0.616079
103, 2.666667, 0.000000, 0.355556, 0.722452
104, 2.666667, 0.000000, 0.490566, 0.720387
105, 4.000000, 0.000000, 0.457143, 0.758509
106, 1.333333, 0.000000, 0.342857, 0.585540
107, 2.666667, 0.000000, 0.310680, 0.703651
108, 2.666667, 0.000000, 0.339623, 0.639082
109, 2.666667, 0.000000, 0.276730, 0.602414
110, 2.666667, 0.000000, 0.292063, 0.640004
111, 2.666667, 0.000000, 0.286604, 0.608205
112, 4.000000, 0.000000, 0.279365, 0.658806
113, 2.666667, 0.000000, 0.304762, 0.592175
114, 2.666667, 0.000000, 0.368254, 0.703963
115, 2.666667, 0.000000, 0.314465, 0.651949
116, 2.666667, 0.000000, 0.440129, 0.708205
117, 1.333333, 0.000000, 0.217949, 0.495436
118, 2.666667, 0.000000, 0.355556, 0.698390
119, 2.666667, 0.000000, 0.414239, 0.699309
120, 2.666667, 0.000000, 0.402516, 0.692694
121, 2.666667, 0.000000, 0.304762, 0.647339
122, 4.000000, 0.000000, 0.452830, 0.778261
123, 1.333333, 0.000000, 0.251572, 0.524150
124, 4.000000, 0.000000, 0.355556, 0.722452
125, 2.666667, 0.000000, 0.355556, 0.673470
126, 4.000000, 0.000000, 0.440129, 0.800617
127, 2.666667, 0.000000, 0.279365, 0.575727
128, 2.666667, 0.000000, 0.427673, 0.770837
129, 5.333333, 0.000000, 0.358974, 0.835683
130, 2.666667, 0.000000, 0.266667, 0.624294
131, 5.333333, 0.000000, 0.389937, 0.862471
132, 4.000000, 0.000000, 0.323988, 0.681375
133, 2.666667, 0.000000, 0.294872, 0.642453
134, 4.000000, 0.000000, 0.346154, 0.765946
135, 4.000000, 0.000000, 0.431746, 0.816397
136, 2.666667, 0.000000, 0.320513, 0.656760
137, 2.666667, 0.000000, 0.384615, 0.758653
138, 2.666667, 0.000000, 0.431746, 0.703963
139, 2.666667, 0.000000, 0.457516, 0.784786
140, 2.666667, 0.000000, 0.440252, 0.796217
141, 2.666667, 0.000000, 0.355556, 0.647590
142, 2.666667, 0.000000, 0.388350, 0.738156
143, 2.666667, 0.000000, 0.336570, 0.611251
144, 2.666667, 0.000000, 0.330159, 0.686399
145, 2.666667, 0.000000, 0.384615, 0.687018
146, 4.000000, 0.000000, 0.393651, 0.737837
147, 2.666667, 0.000000, 0.320513, 0.629931
148, 2.666667, 0.000000, 0.307692, 0.748522
149, 4.000000, 0.000000, 0.423077, 0.771989
150, 4.000000, 0.000000, 0.314465, 0.701970
151, 2.666667, 0.000000, 0.474359, 0.741281
152, 2.666667, 0.000000, 0.304762, 0.620371
153, 4.000000, 0.000000, 0.364780, 0.701515
154, 2.666667, 0.000000, 0.289308, 0.637581
155, 5.333333, 0.000000, 0.286604, 0.755759
156, 4.000000, 0.000000, 0.346154, 0.719467
157, 4.000000, 0.000000, 0.346154, 0.743070
158, 2.666667, 0.000000, 0.465409, 0.737046
159, 2.666667, 0.000000, 0.330159, 0.634640
160, 4.000000, 0.000000, 0.304762, 0.698157
161, 4.000000, 0.000000, 0.320513, 0.656760
162, 4.000000, 0.000000, 0.352941, 0.748778
163, 4.000000, 0.000000, 0.317460, 0.654343
164, 2.666667, 0.000000, 0.380952, 0.732967
165, 4.000000, 0.000000, 0.402516, 0.692694
166, 2.666667, 0.000000, 0.393651, 0.689948
167, 2.666667, 0.000000, 0.323625, 0.632208
168, 2.666667, 0.000000, 0.371795, 0.655748
169, 2.666667, 0.000000, 0.304762, 0.592175
170, 2.666667, 0.000000, 0.406349, 0.742456
171, 2.666667, 0.000000, 0.304762, 0.620371
172, 2.666667, 0.000000, 0.327044, 0.632424
173, 4.000000, 0.000000, 0.386293, 0.709548
174, 2.666667, 0.000000, 0.355556, 0.647590
175, 2.666667, 0.000000, 0.380952, 0.659300
176, 2.666667, 0.000000, 0.380952, 0.709262
177, 4.000000, 0.000000, 0.415094, 0.766786
178, 4.000000, 0.000000, 0.469841, 0.784049
179, 4.000000, 0.000000, 0.448718, 0.734082
180, 2.666667, 0.000000, 0.474359, 0.741281
181, 1.333333, 0.000000, 0.301887, 0.560665
182, 2.666667, 0.000000, 0.320513, 0.601908
183, 2.666667, 0.000000, 0.419048, 0.723578
184, 2.666667, 0.000000, 0.436137, 0.772172
185, 2.666667, 0.000000, 0.355556, 0.673470
186, 2.666667, 0.000000, 0.330159, 0.634640
187, 2.666667, 0.000000, 0.352201, 0.742982
188, 4.000000, 0.000000, 0.368254, 0.727840
189, 2.666667, 0.000000, 0.333333, 0.713561
190, 2.666667, 0.000000, 0.355556, 0.698390
191, 1.333333, 0.000000, 0.215873, 0.493507
192, 4.000000, 0.000000, 0.435897, 0.797890
193, 2.666667, 0.000000, 0.431746, 0.679246
194, 5.333333, 0.000000, 0.453074, 0.906109
195, 2.666667, 0.000000, 0.355556, 0.698390
196, 2.666667, 0.000000, 0.314465, 0.597756
197, 4.000000, 0.000000, 0.339623, 0.690037
198, 2.666667, 0.000000, 0.304762, 0.647339
199, 2.666667, 0.000000, 0.431746, 0.816397
200, 2.666667, 0.000000, 0.294872, 0.615001
201, 2.666667, 0.000000, 0.323988, 0.681375
202, 4.000000, 0.000000, 0.355556, 0.698390
203, 5.333333, 0.000000, 0.389937, 0.780004
204, 2.666667, 0.000000, 0.314465, 0.677421
205, 4.000000, 0.000000, 0.457143, 0.883439
206, 4.000000, 0.000000, 0.364780, 0.701515
207, 2.666667, 0.000000, 0.251572, 0.555514
208, 2.666667, 0.000000, 0.440252, 0.706054
209, 2.666667, 0.000000, 0.427673, 0.725579
210, 4.000000, 0.000000, 0.323988, 0.728943
211, 2.666667, 0.000000, 0.389937, 0.636578
212, 2.666667, 0.000000, 0.389937, 0.735310
213, 2.666667, 0.000000, 0.355556, 0.647590
214, 4.000000, 0.000000, 0.523364, 0.793200
215, 4.000000, 0.000000, 0.440252, 0.817205
216, 4.000000, 0.000000, 0.217949, 0.619303
217, 2.666667, 0.000000, 0.330159, 0.634640
218, 2.666667, 0.000000, 0.380952, 0.709262
219, 4.000000, 0.000000, 0.276730, 0.656222
220, 2.666667, 0.000000, 0.355556, 0.673470
221, 4.000000, 0.000000, 0.377358, 0.753230
222, 1.333333, 0.000000, 0.190476, 0.468807
223, 2.666667, 0.000000, 0.327044, 0.658652
224, 2.666667, 0.000000, 0.292063, 0.584148
225, 2.666667, 0.000000, 0.440252, 0.706054
226, 2.666667, 0.000000, 0.457143, 0.758509
227, 2.666667, 0.000000, 0.406349, 0.719064
228, 2.666667, 0.000000, 0.393651, 0.737837
229, 4.000000, 0.000000, 0.406349, 0.808582
230, 2.666667, 0.000000, 0.301887, 0.618119
231, 2.666667, 0.000000, 0.393651, 0.782803
232, 2.666667, 0.000000, 0.284790, 0.580000
233, 1.333333, 0.000000, 0.266667, 0.535891
234, 2.666667, 0.000000, 0.292063, 0.612713
235, 2.666667, 0.000000, 0.339623, 0.665047
236, 2.666667, 0.000000, 0.317460, 0.654343
237, 2.666667, 0.000000, 0.342857, 0.692538
238, 4.000000, 0.000000, 0.419048, 0.791283
239, 2.666667, 0.000000, 0.444444, 0.731856
240, 2.666667, 0.000000, 0.253968, 0.587483
241, 4.000000, 0.000000, 0.339623, 0.782049
242, 2.666667, 0.000000, 0.380952, 0.755929
243, 2.666667, 0.000000, 0.448718, 0.757229
244, 4.000000, 0.000000, 0.448718, 0.801521
245, 2.666667, 0.000000, 0.355556, 0.673470
246, 2.666667, 0.000000, 0.364780, 0.701515
247, 2.666667, 0.000000, 0.336570, 0.639129
248, 2.666667, 0.000000, 0.371795, 0.681561
249, 4.000000, 0.000000, 0.368254, 0.795183
250, 2.666667, 0.000000, 0.377358, 0.706846
251, 2.666667, 0.000000, 0.224299, 0.564082
252, 4.000000, 0.000000, 0.301887, 0.695455
253, 2.666667, 0.000000, 0.457143, 0.780720
254, 2.666667, 0.000000, 0.346154, 0.695064
255, 2.666667, 0.000000, 0.423077, 0.749298
256, 4.000000, 0.000000, 0.389937, 0.735310
257, 2.666667, 0.000000, 0.352201, 0.671144
258, 2.666667, 0.000000, 0.380952, 0.659300
259, 4.000000, 0.000000, 0.406349, 0.765134
260, 2.666667, 0.000000, 0.401294, 0.742954
261, 4.000000, 0.000000, 0.423077, 0.794032
262, 4.000000, 0.000000, 0.292063, 0.640004
263, 2.666667, 0.000000, 0.397436, 0.692192
264, 4.000000, 0.000000, 0.256410, 0.645674
265, 2.666667, 0.000000, 0.393651, 0.689948
266, 1.333333, 0.000000, 0.352201, 0.590633
267, 2.666667, 0.000000, 0.361371, 0.699088
268, 2.666667, 0.000000, 0.313725, 0.654717
269, 2.666667, 0.000000, 0.339623, 0.665047
