epoch, max, min, mean, standev
1, 9.000000, 4.000000, 7.063107, 1.130896
2, 9.000000, 5.000000, 7.198113, 1.099089
3, 9.000000, 5.000000, 7.180952, 0.927994
4, 9.000000, 5.000000, 7.115385, 0.998131
5, 9.000000, 6.000000, 7.349057, 1.014584
6, 9.000000, 6.000000, 7.230769, 0.894761
7, 9.000000, 5.000000, 7.419048, 0.978430
8, 9.000000, 5.000000, 7.390476, 1.023712
9, 9.000000, 5.000000, 7.352381, 0.919667
10, 9.000000, 4.000000, 7.403846, 1.009847
11, 9.000000, 5.000000, 7.188679, 0.874106
12, 9.000000, 5.000000, 7.201923, 0.896377
13, 9.000000, 6.000000, 7.028302, 0.668439
14, 9.000000, 6.000000, 6.971429, 0.713296
15, 9.000000, 6.000000, 7.067308, 0.827494
16, 8.000000, 5.000000, 6.915888, 0.688470
17, 9.000000, 6.000000, 7.037736, 0.754977
18, 9.000000, 6.000000, 7.057692, 0.786129
19, 8.000000, 5.000000, 6.923810, 0.702950
20, 8.000000, 5.000000, 6.990291, 0.664140
21, 8.000000, 5.000000, 7.000000, 0.647339
22, 8.000000, 5.000000, 6.961905, 0.634335
23, 8.000000, 6.000000, 7.009709, 0.649210
24, 8.000000, 5.000000, 7.047170, 0.667363
25, 8.000000, 6.000000, 6.849057, 0.582155
26, 9.000000, 6.000000, 6.783019, 0.632527
27, 9.000000, 5.000000, 6.836538, 0.669887
28, 9.000000, 5.000000, 6.800000, 0.698900
29, 8.000000, 4.000000, 6.790476, 0.702950
30, 8.000000, 4.000000, 6.701923, 0.695056
31, 9.000000, 5.000000, 6.679245, 0.737398
32, 8.000000, 5.000000, 6.701923, 0.680945
33, 8.000000, 6.000000, 6.650943, 0.586230
34, 8.000000, 4.000000, 6.619048, 0.656051
35, 8.000000, 4.000000, 6.640777, 0.712003
36, 8.000000, 5.000000, 6.619048, 0.684737
37, 8.000000, 5.000000, 6.580952, 0.690331
38, 9.000000, 4.000000, 6.528846, 0.858501
39, 9.000000, 4.000000, 6.576923, 0.796745
40, 9.000000, 4.000000, 6.495238, 0.810078
41, 9.000000, 4.000000, 6.560748, 0.803032
42, 9.000000, 4.000000, 6.481132, 0.706853
43, 8.000000, 4.000000, 6.359223, 0.802623
44, 8.000000, 4.000000, 6.390476, 0.826197
45, 8.000000, 4.000000, 6.392523, 0.736604
46, 8.000000, 4.000000, 6.342857, 0.769972
47, 9.000000, 4.000000, 6.423077, 0.746413
48, 9.000000, 4.000000, 6.307692, 0.725097
49, 9.000000, 4.000000, 6.419048, 0.704122
50, 9.000000, 4.000000, 6.339623, 0.645671
51, 8.000000, 4.000000, 6.333333, 0.645497
52, 8.000000, 3.000000, 6.235849, 0.762850
53, 9.000000, 4.000000, 6.326923, 0.829578
54, 9.000000, 4.000000, 6.261682, 0.718180
55, 8.000000, 4.000000, 6.276190, 0.826197
56, 8.000000, 4.000000, 6.169811, 0.736422
57, 9.000000, 4.000000, 6.198113, 0.855457
58, 8.000000, 4.000000, 6.165049, 0.701498
59, 7.000000, 4.000000, 6.211538, 0.515264
60, 8.000000, 4.000000, 6.247619, 0.730923
61, 8.000000, 4.000000, 6.180952, 0.769377
62, 9.000000, 4.000000, 6.113208, 0.784623
63, 9.000000, 4.000000, 6.230769, 0.803279
64, 9.000000, 4.000000, 6.103774, 0.803910
65, 8.000000, 4.000000, 6.028037, 0.782569
66, 7.000000, 4.000000, 6.104762, 0.603257
67, 7.000000, 4.000000, 6.122642, 0.752176
68, 8.000000, 4.000000, 6.144231, 0.729653
69, 9.000000, 4.000000, 6.179245, 0.673260
70, 8.000000, 4.000000, 6.182692, 0.760230
71, 9.000000, 4.000000, 6.271845, 0.644649
72, 8.000000, 3.000000, 6.048077, 0.851952
73, 9.000000, 4.000000, 6.140187, 0.770305
74, 8.000000, 4.000000, 6.116505, 0.675930
75, 8.000000, 4.000000, 6.125000, 0.648935
76, 9.000000, 4.000000, 6.314286, 0.737906
77, 9.000000, 4.000000, 6.230769, 0.791101
78, 8.000000, 4.000000, 6.250000, 0.587078
79, 8.000000, 4.000000, 6.171429, 0.790048
80, 9.000000, 4.000000, 6.028571, 0.934974
81, 8.000000, 4.000000, 6.142857, 0.777429
82, 8.000000, 4.000000, 6.047170, 0.877030
83, 9.000000, 4.000000, 6.075472, 0.836069
84, 9.000000, 4.000000, 6.132075, 0.936818
85, 8.000000, 3.000000, 6.152381, 0.907034
86, 9.000000, 3.000000, 6.245283, 0.848655
87, 9.000000, 4.000000, 6.113208, 0.865429
88, 9.000000, 4.000000, 6.269231, 0.838755
89, 9.000000, 4.000000, 6.180952, 1.141700
90, 9.000000, 4.000000, 6.327103, 0.877128
91, 9.000000, 4.000000, 6.283019, 0.902428
92, 9.000000, 4.000000, 6.209524, 0.840046
93, 8.000000, 4.000000, 6.259615, 0.638493
94, 8.000000, 4.000000, 6.211538, 0.746163
95, 8.000000, 4.000000, 6.093458, 0.720753
96, 9.000000, 4.000000, 6.182692, 0.809704
97, 8.000000, 4.000000, 6.095238, 0.643366
98, 8.000000, 4.000000, 6.180952, 0.756776
99, 8.000000, 4.000000, 6.194175, 0.611303
100, 9.000000, 4.000000, 6.171429, 0.752651
101, 8.000000, 4.000000, 6.085714, 0.798006
102, 8.000000, 4.000000, 5.961538, 0.835186
103, 8.000000, 4.000000, 6.152381, 0.781775
104, 8.000000, 4.000000, 6.103774, 0.849978
105, 8.000000, 4.000000, 6.200000, 0.859338
106, 9.000000, 4.000000, 6.257143, 0.784815
107, 9.000000, 4.000000, 6.058252, 0.958197
108, 9.000000, 4.000000, 6.141509, 1.018296
109, 8.000000, 3.000000, 6.028302, 0.833324
110, 8.000000, 4.000000, 6.085714, 0.761000
111, 8.000000, 4.000000, 5.906542, 0.916646
112, 8.000000, 4.000000, 6.066667, 0.879977
113, 8.000000, 4.000000, 5.971429, 0.871086
114, 8.000000, 4.000000, 6.057143, 0.907539
115, 8.000000, 4.000000, 5.981132, 0.804524
116, 8.000000, 4.000000, 5.932039, 0.942068
117, 9.000000, 4.000000, 5.951923, 0.969234
118, 9.000000, 4.000000, 5.990476, 0.914575
119, 9.000000, 4.000000, 5.941748, 0.916357
120, 9.000000, 4.000000, 6.009434, 0.941076
121, 8.000000, 4.000000, 5.933333, 1.021562
122, 9.000000, 4.000000, 5.896226, 1.059463
123, 7.000000, 4.000000, 5.632075, 1.007831
124, 7.000000, 4.000000, 5.695238, 0.931539
125, 8.000000, 4.000000, 5.790476, 1.053339
126, 9.000000, 4.000000, 5.961165, 1.018672
127, 7.000000, 4.000000, 5.742857, 1.047236
128, 8.000000, 3.000000, 5.943396, 1.031228
129, 7.000000, 3.000000, 6.000000, 0.965422
130, 9.000000, 4.000000, 6.076190, 0.937419
131, 9.000000, 4.000000, 5.962264, 1.050392
132, 9.000000, 4.000000, 5.794393, 1.138837
133, 9.000000, 4.000000, 5.971154, 1.135967
134, 8.000000, 4.000000, 5.884615, 0.948250
135, 8.000000, 4.000000, 6.047619, 0.881225
136, 8.000000, 4.000000, 6.230769, 0.967740
137, 8.000000, 4.000000, 6.192308, 0.956094
138, 7.000000, 4.000000, 6.133333, 0.821194
139, 8.000000, 4.000000, 6.303922, 0.829997
140, 8.000000, 3.000000, 6.094340, 1.000270
141, 9.000000, 4.000000, 6.171429, 0.914174
142, 8.000000, 4.000000, 6.281553, 0.964238
143, 9.000000, 4.000000, 6.242718, 1.097823
144, 9.000000, 3.000000, 6.104762, 1.224147
145, 9.000000, 3.000000, 6.086538, 1.215679
146, 8.000000, 3.000000, 6.180952, 1.098784
147, 8.000000, 4.000000, 6.134615, 0.955898
148, 8.000000, 4.000000, 6.278846, 0.886323
