epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 30.666667, 0.000000, 1.446394, 3.779574
2, 30.666667, 0.000000, 4.995305, 6.490895
3, 32.000000, 0.000000, 6.816901, 8.990434
4, 35.333333, 0.000000, 8.563380, 10.314205
5, 35.333333, 0.000000, 12.967136, 12.672073
6, 36.000000, 0.000000, 18.798122, 12.596608
7, 44.666667, 0.000000, 18.309859, 13.838447
8, 38.000000, 0.000000, 16.713615, 13.266654
9, 42.000000, 0.000000, 17.712963, 13.298464
10, 41.333333, 0.000000, 17.953052, 14.589548
11, 47.333333, 0.000000, 25.844749, 14.526910
12, 44.000000, 0.000000, 26.817778, 13.868786
13, 48.000000, 0.000000, 27.422222, 14.482052
14, 48.666667, 1.333333, 27.847826, 12.498832
15, 48.000000, 0.000000, 29.191489, 13.643655
16, 50.000000, 0.000000, 29.106667, 12.664441
17, 50.000000, 0.000000, 26.632997, 13.692567
18, 45.333333, 0.000000, 25.818182, 13.429523
19, 50.666667, 0.000000, 30.206667, 11.752668
20, 58.000000, 2.000000, 30.741497, 10.930115
21, 57.333333, 2.000000, 32.161616, 10.516844
22, 52.666667, 0.666667, 29.860000, 11.549453
23, 52.000000, 0.000000, 31.528620, 11.575348
24, 51.333333, 0.666667, 30.926667, 11.980491
25, 50.000000, 0.000000, 30.906667, 13.306883
26, 60.000000, 0.000000, 32.386667, 13.006492
27, 55.333333, 0.000000, 31.840000, 13.606006
28, 63.333333, 0.000000, 33.800000, 11.904408
29, 50.000000, 0.000000, 30.793333, 11.740821
30, 56.666667, 0.000000, 31.266667, 12.949873
31, 65.333333, 0.000000, 34.260000, 12.505584
32, 55.333333, 0.000000, 31.602694, 13.123491
33, 58.666667, 0.000000, 29.586667, 15.097968
34, 63.333333, 0.666667, 32.286667, 13.086351
35, 60.000000, 0.000000, 32.026667, 13.605281
36, 67.333333, 0.000000, 30.793333, 13.345346
37, 60.000000, 0.666667, 35.200000, 12.066036
38, 60.666667, 0.000000, 30.329966, 14.817828
39, 52.666667, 0.000000, 32.121212, 12.550980
