epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 4.000000, 3.000000, 3.029412, 0.169457
2, 4.000000, 3.000000, 3.056338, 0.232214
3, 5.000000, 3.000000, 3.154930, 0.401707
4, 6.000000, 3.000000, 4.000000, 1.061490
5, 6.000000, 3.000000, 3.750000, 0.975041
6, 5.000000, 3.000000, 3.430556, 0.765937
7, 6.000000, 3.000000, 3.541667, 0.871093
8, 6.000000, 3.000000, 3.972222, 1.100220
9, 7.000000, 3.000000, 4.698630, 1.468984
10, 8.000000, 3.000000, 6.054054, 1.999259
11, 9.000000, 3.000000, 5.200000, 1.800901
12, 10.000000, 3.000000, 5.600000, 1.895942
13, 10.000000, 3.000000, 6.363636, 2.253121
14, 10.000000, 3.000000, 6.558442, 2.155126
15, 10.000000, 3.000000, 7.448718, 2.105327
16, 10.000000, 3.000000, 8.702381, 1.663063
17, 10.000000, 3.000000, 8.489362, 2.014702
18, 10.000000, 3.000000, 8.269663, 2.130749
19, 10.000000, 3.000000, 8.457447, 1.887508
20, 10.000000, 3.000000, 8.589474, 1.954236
21, 10.000000, 3.000000, 8.791209, 1.912047
22, 10.000000, 3.000000, 8.913978, 1.868828
23, 10.000000, 3.000000, 9.326316, 1.539840
24, 10.000000, 3.000000, 9.239583, 1.607514
25, 10.000000, 3.000000, 9.367347, 1.494924
26, 10.000000, 4.000000, 9.237113, 1.553043
27, 10.000000, 4.000000, 9.309278, 1.481559
