epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 9725.000000, 1930.000000, 4244.290698, 1875.008141
2, 8290.000000, 3175.000000, 5539.383562, 992.745696
3, 8474.000000, 2681.000000, 5550.347222, 1215.583326
4, 8340.000000, 2598.000000, 5980.111111, 1093.667027
5, 15915.000000, 3283.000000, 6828.533333, 1678.959792
6, 17307.000000, 2637.000000, 7065.797297, 2516.879090
7, 27487.000000, 2794.000000, 7888.092105, 3201.013257
8, 28241.000000, 3284.000000, 8897.144737, 3429.518150
9, 28129.000000, 2806.000000, 9753.000000, 5574.310359
10, 34347.000000, 2662.000000, 11633.285714, 8008.655707
11, 40753.000000, 2670.000000, 13279.476744, 9125.524500
12, 40995.000000, 2810.000000, 15755.988764, 10728.887146
13, 42085.000000, 3745.000000, 18416.034091, 11701.009946
14, 48894.000000, 2891.000000, 18774.483871, 12251.003736
15, 68980.000000, 4238.000000, 22433.559140, 14914.549724
16, 76412.000000, 4718.000000, 25381.830000, 15031.065513
17, 59407.000000, 4203.000000, 26448.806122, 14467.226299
18, 74107.000000, 4301.000000, 29023.130000, 15315.070419
19, 61673.000000, 7014.000000, 30252.340000, 15005.995191
