epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 5.000000, 4.000000, 4.005814, 0.076249
2, 5.000000, 4.000000, 4.041096, 0.199886
3, 5.000000, 4.000000, 4.068493, 0.254338
4, 5.000000, 4.000000, 4.084507, 0.280126
5, 5.000000, 4.000000, 4.068493, 0.254338
6, 6.000000, 4.000000, 4.342466, 0.532791
7, 6.000000, 4.000000, 4.342466, 0.532791
8, 6.000000, 4.000000, 4.802632, 0.832982
9, 7.000000, 4.000000, 4.600000, 0.820620
10, 8.000000, 4.000000, 5.177215, 1.216969
11, 8.000000, 4.000000, 5.333333, 1.254710
12, 8.000000, 4.000000, 5.386364, 1.272447
13, 8.000000, 4.000000, 5.636364, 1.349174
14, 9.000000, 4.000000, 5.684211, 1.290416
15, 8.000000, 4.000000, 5.663265, 1.315599
16, 8.000000, 4.000000, 5.948980, 1.372577
17, 9.000000, 4.000000, 6.161616, 1.337886
18, 10.000000, 4.000000, 6.212121, 1.493337
19, 10.000000, 4.000000, 6.581633, 1.539336
20, 10.000000, 4.000000, 7.030612, 1.439173
21, 10.000000, 4.000000, 6.940000, 1.581586
22, 10.000000, 4.000000, 7.010000, 1.527492
23, 10.000000, 4.000000, 6.980000, 1.504069
24, 10.000000, 4.000000, 7.120000, 1.512774
25, 10.000000, 4.000000, 7.220000, 1.541218
26, 10.000000, 4.000000, 7.320000, 1.420485
27, 10.000000, 4.000000, 7.320000, 1.434636
28, 10.000000, 4.000000, 7.470000, 1.546942
29, 10.000000, 4.000000, 7.580000, 1.491931
30, 10.000000, 4.000000, 7.550000, 1.565893
31, 10.000000, 4.000000, 7.590000, 1.583341
32, 10.000000, 4.000000, 7.660000, 1.545407
33, 10.000000, 4.000000, 7.670000, 1.620918
34, 10.000000, 4.000000, 7.910000, 1.608657
35, 10.000000, 4.000000, 8.130000, 1.618423
36, 10.000000, 4.000000, 8.390000, 1.462632
37, 10.000000, 4.000000, 8.350000, 1.520068
38, 10.000000, 4.000000, 8.430000, 1.444285
39, 10.000000, 4.000000, 8.540000, 1.452410
40, 10.000000, 4.000000, 8.500000, 1.452966
41, 10.000000, 4.000000, 8.700000, 1.424887
42, 10.000000, 4.000000, 8.780000, 1.352738
43, 10.000000, 4.000000, 8.800000, 1.378038
44, 10.000000, 4.000000, 8.760000, 1.386224
45, 10.000000, 4.000000, 8.710000, 1.472269
46, 10.000000, 4.000000, 8.740000, 1.367886
47, 10.000000, 4.000000, 8.780000, 1.389572
48, 10.000000, 4.000000, 8.750000, 1.305582
49, 10.000000, 5.000000, 8.720000, 1.341490
50, 10.000000, 4.000000, 8.670000, 1.428816
51, 10.000000, 4.000000, 8.680000, 1.483103
52, 10.000000, 4.000000, 8.770000, 1.362225
53, 10.000000, 4.000000, 8.640000, 1.432100
54, 10.000000, 4.000000, 8.510000, 1.431923
55, 10.000000, 5.000000, 8.470000, 1.445683
56, 10.000000, 5.000000, 8.480000, 1.381552
57, 10.000000, 5.000000, 8.370000, 1.390117
58, 10.000000, 5.000000, 8.330000, 1.363707
59, 10.000000, 5.000000, 8.330000, 1.400253
60, 10.000000, 5.000000, 8.330000, 1.318516
61, 10.000000, 5.000000, 8.320000, 1.301747
62, 10.000000, 5.000000, 8.370000, 1.276477
63, 10.000000, 5.000000, 8.410000, 1.371389
64, 10.000000, 5.000000, 8.460000, 1.381114
65, 10.000000, 5.000000, 8.530000, 1.336776
66, 10.000000, 5.000000, 8.350000, 1.431076
67, 10.000000, 5.000000, 8.440000, 1.335755
