epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 8586.000000, 751.000000, 2060.240000, 926.648956
2, 4874.000000, 1630.000000, 3060.305556, 698.008367
3, 5155.000000, 1203.000000, 2590.633803, 761.586469
4, 6475.000000, 2340.000000, 3901.337838, 889.030352
5, 5992.000000, 1343.000000, 3233.671053, 1023.757476
6, 7698.000000, 1377.000000, 4025.421053, 1515.259716
7, 7196.000000, 1188.000000, 3162.354430, 1423.213023
8, 7446.000000, 1228.000000, 3079.025974, 1499.112176
9, 7732.000000, 1259.000000, 3460.623377, 1474.512855
10, 8795.000000, 1304.000000, 3242.519481, 1523.477934
11, 14470.000000, 1293.000000, 4398.102564, 2713.222647
12, 8758.000000, 1245.000000, 3584.012987, 1609.172315
13, 9361.000000, 1375.000000, 3624.860759, 1600.087528
14, 10140.000000, 1315.000000, 3613.827160, 1750.592662
15, 11513.000000, 1431.000000, 4014.640449, 1688.624280
16, 9901.000000, 1420.000000, 3984.275862, 1668.353803
17, 7590.000000, 1361.000000, 3979.296703, 1137.145701
18, 7557.000000, 2427.000000, 4001.483871, 1012.090557
19, 6554.000000, 1440.000000, 4206.214286, 955.861044
20, 12924.000000, 1367.000000, 5566.494845, 2046.206842
21, 7643.000000, 1447.000000, 4110.290000, 965.513725
22, 6444.000000, 2303.000000, 4075.515152, 893.311226
23, 6069.000000, 1995.000000, 4066.220000, 817.439580
24, 11682.000000, 2072.000000, 4984.275510, 2000.760437
25, 13596.000000, 3089.000000, 7014.380000, 2246.215964
26, 11948.000000, 2715.000000, 6439.080000, 2409.266935
27, 12183.000000, 2294.000000, 6610.120000, 2263.826363
28, 7456.000000, 2363.000000, 4086.460000, 808.716584
29, 8433.000000, 2334.000000, 4367.300000, 1000.999919
30, 9275.000000, 1968.000000, 4293.260000, 1070.857899
31, 9116.000000, 1663.000000, 4295.797980, 1143.286571
32, 13537.000000, 2298.000000, 4953.310000, 1696.511898
33, 11360.000000, 2638.000000, 6175.320000, 2392.875827
34, 9415.000000, 1741.000000, 4570.898990, 1162.926266
35, 11268.000000, 1775.000000, 4467.090000, 1185.333564
36, 7052.000000, 2537.000000, 4596.510000, 833.487761
37, 14879.000000, 2841.000000, 5822.740000, 2570.381462
38, 18680.000000, 5024.000000, 9449.280000, 2055.744536
39, 10729.000000, 3102.000000, 4985.770000, 1254.043793
40, 12575.000000, 1673.000000, 5024.940000, 1488.448449
41, 14801.000000, 3112.000000, 5912.270000, 2490.749451
42, 16624.000000, 3198.000000, 6090.530000, 2167.037728
43, 8380.000000, 2850.000000, 4948.700000, 823.029124
44, 14787.000000, 1710.000000, 4926.767677, 1310.831313
