epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 5.882353, 0.000000, 0.672269, 1.152070
2, 4.705882, 0.000000, 1.781046, 1.367906
3, 5.882353, 0.000000, 2.071251, 1.901840
4, 8.235294, 0.000000, 2.734499, 1.938605
5, 8.235294, 0.000000, 3.034056, 2.150191
6, 7.058824, 0.000000, 2.631579, 2.120855
7, 9.411765, 0.000000, 2.874162, 2.608632
8, 7.058824, 0.000000, 2.352941, 2.167625
9, 10.588235, 0.000000, 2.597403, 2.252805
10, 9.411765, 0.000000, 2.566845, 2.737381
11, 8.235294, 0.000000, 2.820513, 2.347892
12, 10.588235, 0.000000, 3.636364, 3.306599
13, 8.235294, 0.000000, 3.469844, 2.742287
14, 11.764706, 0.000000, 2.861293, 2.970083
15, 10.588235, 0.000000, 4.044944, 2.930221
16, 12.941176, 0.000000, 4.205544, 3.495653
17, 18.823529, 0.000000, 5.985779, 4.178443
18, 21.176471, 0.000000, 7.324478, 4.371527
19, 16.470588, 0.000000, 6.002401, 3.898216
20, 17.647059, 0.000000, 6.961795, 4.488451
21, 17.647059, 0.000000, 7.858824, 4.216635
22, 21.176471, 0.000000, 8.140226, 4.358994
23, 23.529412, 0.000000, 8.988235, 4.504050
24, 18.823529, 0.000000, 8.775510, 4.663754
25, 25.882353, 0.000000, 8.764706, 4.736605
26, 21.176471, 0.000000, 9.294118, 4.763462
27, 21.176471, 0.000000, 8.623529, 4.969038
28, 20.000000, 0.000000, 8.823529, 4.565647
29, 21.176471, 0.000000, 9.247059, 4.723733
30, 18.823529, 0.000000, 9.835294, 4.510253
31, 16.470588, 0.000000, 8.663102, 4.479723
32, 18.823529, 0.000000, 8.729412, 4.849790
33, 25.882353, 0.000000, 9.788235, 5.295451
34, 24.705882, 0.000000, 10.635769, 5.005242
35, 21.176471, 0.000000, 9.235294, 5.157679
36, 21.176471, 0.000000, 9.576471, 5.216021
37, 20.000000, 0.000000, 9.717647, 4.692852
38, 21.176471, 0.000000, 10.329412, 4.498024
39, 21.176471, 0.000000, 10.094118, 4.691541
40, 22.352941, 0.000000, 9.905882, 4.794705
41, 24.705882, 0.000000, 9.858824, 4.102016
42, 20.000000, 0.000000, 10.082353, 4.564896
43, 21.176471, 0.000000, 10.117647, 4.594645
44, 22.352941, 0.000000, 9.839572, 4.814047
45, 20.000000, 0.000000, 9.847059, 5.131264
46, 24.705882, 0.000000, 10.494118, 4.746350
47, 20.000000, 0.000000, 10.211765, 4.563748
48, 21.176471, 0.000000, 10.600000, 4.859337
49, 21.176471, 0.000000, 10.800000, 4.306849
50, 18.823529, 0.000000, 9.823529, 4.280785
51, 21.176471, 0.000000, 10.164706, 4.751767
