epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 4848.000000, 472.000000, 1110.494186, 643.163904
2, 2284.000000, 526.000000, 1285.482759, 475.639908
3, 3348.000000, 555.000000, 1398.180556, 471.577435
4, 1895.000000, 662.000000, 1340.722222, 317.471890
5, 1850.000000, 1016.000000, 1359.239437, 161.985314
6, 1794.000000, 809.000000, 1354.197183, 171.143350
7, 1789.000000, 749.000000, 1339.295775, 170.941126
8, 2118.000000, 768.000000, 1340.500000, 228.964509
9, 1897.000000, 800.000000, 1367.095890, 155.224583
10, 2060.000000, 1001.000000, 1545.155844, 170.562542
11, 2031.000000, 704.000000, 1420.181818, 284.015508
12, 2812.000000, 746.000000, 1634.784810, 296.156086
13, 2357.000000, 625.000000, 1580.500000, 326.925897
14, 5361.000000, 808.000000, 1914.465909, 741.187273
15, 2786.000000, 953.000000, 1730.352273, 361.245102
16, 3608.000000, 1293.000000, 1967.937500, 469.251898
17, 2923.000000, 1025.000000, 1984.867347, 389.187699
18, 3566.000000, 978.000000, 1940.950000, 424.908650
19, 2823.000000, 947.000000, 1894.900000, 371.465362
20, 2807.000000, 1256.000000, 1921.210000, 344.019975
21, 2962.000000, 970.000000, 1901.050505, 419.176875
22, 3255.000000, 963.000000, 2029.711340, 468.759110
23, 3710.000000, 973.000000, 2032.122449, 490.404299
24, 2851.000000, 1066.000000, 2018.237113, 396.232749
25, 3618.000000, 1146.000000, 2104.673469, 426.404696
26, 2794.000000, 1378.000000, 2058.220000, 371.680475
27, 4016.000000, 1090.000000, 2133.616162, 494.784301
28, 2976.000000, 1225.000000, 2086.707071, 397.562991
29, 3795.000000, 826.000000, 2123.918367, 440.301974
30, 4008.000000, 984.000000, 2169.989796, 439.716509
31, 4127.000000, 1224.000000, 2216.404040, 471.715517
32, 3273.000000, 1021.000000, 2191.714286, 437.092314
33, 3887.000000, 1314.000000, 2282.041237, 430.831026
34, 3898.000000, 932.000000, 2275.310000, 480.704947
35, 3611.000000, 833.000000, 2266.454545, 444.051185
36, 3677.000000, 1239.000000, 2294.650000, 427.186931
37, 3300.000000, 1025.000000, 2355.561224, 358.051343
38, 3162.000000, 985.000000, 2308.830000, 359.545787
39, 4044.000000, 1478.000000, 2365.550000, 432.529893
40, 3623.000000, 1352.000000, 2331.680000, 425.864015
41, 3368.000000, 1108.000000, 2361.838384, 409.968981
42, 3969.000000, 1391.000000, 2400.840000, 496.126913
43, 3601.000000, 1434.000000, 2447.797980, 379.057531
44, 3169.000000, 1452.000000, 2409.450000, 414.380184
45, 3517.000000, 1303.000000, 2430.367347, 410.702576
46, 3945.000000, 1430.000000, 2404.727273, 433.539886
47, 3876.000000, 1024.000000, 2447.443299, 470.636890
48, 3713.000000, 1461.000000, 2488.500000, 378.376871
49, 3555.000000, 1266.000000, 2537.230000, 384.281722
50, 3941.000000, 1344.000000, 2503.270000, 482.549497
51, 3450.000000, 880.000000, 2519.336735, 503.331088
52, 3919.000000, 1465.000000, 2644.428571, 418.288905
53, 4050.000000, 1323.000000, 2596.870000, 456.324283
54, 4106.000000, 1088.000000, 2583.550000, 537.109988
55, 4019.000000, 1379.000000, 2557.420000, 510.074171
56, 4035.000000, 1367.000000, 2564.560000, 507.076276
57, 3815.000000, 1081.000000, 2641.577320, 473.078082
58, 3368.000000, 1407.000000, 2550.939394, 500.073909
59, 4859.000000, 1332.000000, 2681.731959, 572.747663
60, 4826.000000, 1460.000000, 2697.414141, 615.477416
61, 3915.000000, 1414.000000, 2636.939394, 462.345370
62, 3942.000000, 1105.000000, 2530.560000, 554.144574
63, 4120.000000, 942.000000, 2590.268041, 601.595215
64, 4211.000000, 1071.000000, 2659.175258, 525.892595
65, 4192.000000, 1416.000000, 2692.730000, 554.645849
66, 4254.000000, 1204.000000, 2640.210000, 598.679005
67, 4965.000000, 1280.000000, 2704.840000, 632.935086
68, 4190.000000, 1148.000000, 2676.363636, 643.664944
69, 4168.000000, 951.000000, 2531.494845, 763.235125
70, 3728.000000, 965.000000, 2635.200000, 678.024785
71, 4204.000000, 1619.000000, 2723.156250, 592.998062
72, 4381.000000, 1397.000000, 2673.710000, 667.567320
73, 4243.000000, 986.000000, 2751.081633, 612.474122
74, 4307.000000, 1427.000000, 2655.061224, 670.348591
75, 3585.000000, 1061.000000, 2661.711340, 615.436734
