epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 50.000000, 0.000000, 0.290698, 3.812464
2, 50.000000, 0.000000, 3.831418, 13.133470
3, 50.000000, 0.000000, 8.796296, 18.966287
4, 50.000000, 0.000000, 19.907407, 24.488330
5, 50.000000, 0.000000, 32.394366, 24.051420
6, 50.000000, 0.000000, 25.117371, 25.019554
7, 50.000000, 0.000000, 32.159624, 23.958288
8, 50.000000, 0.000000, 29.047619, 24.685740
9, 50.000000, 0.000000, 35.616438, 22.790489
10, 83.333333, 0.000000, 38.528139, 21.841357
11, 83.333333, 0.000000, 26.406926, 25.841206
12, 50.000000, 0.000000, 37.130802, 21.836835
13, 83.333333, 0.000000, 31.150794, 27.596704
14, 83.333333, 0.000000, 39.015152, 25.632032
15, 83.333333, 0.000000, 32.007576, 25.423814
16, 83.333333, 0.000000, 39.062500, 22.791725
17, 83.333333, 0.000000, 41.326531, 24.897222
18, 83.333333, 0.000000, 39.500000, 25.254596
19, 83.333333, 0.000000, 41.500000, 25.677684
20, 83.333333, 0.000000, 35.500000, 24.578946
21, 83.333333, 0.000000, 31.649832, 26.459115
22, 83.333333, 0.000000, 36.597938, 25.869059
23, 83.333333, 0.000000, 37.925170, 26.409912
24, 83.333333, 0.000000, 42.268041, 23.700223
25, 83.333333, 0.000000, 37.074830, 24.816695
26, 83.333333, 0.000000, 36.833333, 24.991020
27, 83.333333, 0.000000, 36.700337, 26.296301
28, 83.333333, 0.000000, 42.255892, 22.999696
29, 83.333333, 0.000000, 35.374150, 26.570413
30, 83.333333, 0.000000, 45.068027, 20.052792
31, 83.333333, 0.000000, 38.215488, 27.484538
32, 83.333333, 0.000000, 44.727891, 25.054001
33, 83.333333, 0.000000, 42.096220, 25.355434
34, 83.333333, 0.000000, 46.000000, 25.636674
35, 83.333333, 0.000000, 41.414141, 24.089266
36, 83.333333, 0.000000, 41.500000, 23.747526
37, 83.333333, 0.000000, 46.088435, 20.278844
38, 83.333333, 0.000000, 44.666667, 20.635254
39, 83.333333, 0.000000, 39.666667, 23.662896
40, 83.333333, 0.000000, 44.833333, 22.930016
41, 83.333333, 0.000000, 42.592593, 24.769026
42, 83.333333, 0.000000, 42.000000, 25.011782
43, 83.333333, 0.000000, 46.632997, 21.425899
44, 83.333333, 0.000000, 46.500000, 23.605317
45, 83.333333, 0.000000, 41.836735, 24.783703
46, 83.333333, 0.000000, 43.939394, 23.383637
47, 83.333333, 0.000000, 42.783505, 23.803208
48, 83.333333, 0.000000, 43.027211, 22.567637
49, 83.333333, 0.000000, 39.666667, 23.662896
50, 83.333333, 0.000000, 43.833333, 22.430214
51, 83.333333, 0.000000, 46.428571, 21.571958
52, 83.333333, 0.000000, 47.278912, 21.364383
53, 83.333333, 0.000000, 42.333333, 22.649924
54, 83.333333, 0.000000, 42.000000, 22.282746
55, 83.333333, 0.000000, 41.166667, 23.742800
56, 83.333333, 0.000000, 46.833333, 23.533890
57, 83.333333, 0.000000, 42.439863, 22.050633
58, 83.333333, 0.000000, 46.801347, 23.410558
59, 83.333333, 0.000000, 44.158076, 20.699744
60, 83.333333, 0.000000, 44.276094, 19.366617
61, 83.333333, 0.000000, 41.919192, 21.868971
62, 83.333333, 0.000000, 41.166667, 22.026283
63, 83.333333, 0.000000, 41.580756, 23.462405
64, 83.333333, 0.000000, 42.268041, 20.562385
65, 83.333333, 0.000000, 43.333333, 19.245009
66, 83.333333, 0.000000, 44.333333, 22.123518
67, 83.333333, 0.000000, 41.166667, 20.713291
68, 83.333333, 0.000000, 42.255892, 21.862424
69, 83.333333, 0.000000, 37.113402, 23.875782
70, 83.333333, 0.000000, 39.649123, 22.038402
71, 66.666667, 0.000000, 38.020833, 21.589353
72, 83.333333, 0.000000, 42.666667, 21.493089
73, 83.333333, 0.000000, 39.285714, 23.600580
74, 83.333333, 0.000000, 43.367347, 21.370537
75, 83.333333, 0.000000, 40.549828, 23.558833
76, 83.333333, 0.000000, 41.408935, 25.128536
77, 83.333333, 0.000000, 42.013889, 23.691384
