epoch, max, min, mean, standev
0, NaN, NaN, NaN, NaN
1, 5.000000, 4.000000, 4.011628, 0.107517
2, 5.000000, 4.000000, 4.045977, 0.210649
3, 5.000000, 4.000000, 4.027778, 0.165489
4, 6.000000, 4.000000, 4.111111, 0.358225
5, 5.000000, 4.000000, 4.140845, 0.350338
6, 6.000000, 4.000000, 4.211268, 0.475560
7, 5.000000, 4.000000, 4.112676, 0.318447
8, 5.000000, 4.000000, 4.128571, 0.337142
9, 6.000000, 4.000000, 4.630137, 0.589417
10, 7.000000, 4.000000, 5.623377, 0.607821
11, 7.000000, 4.000000, 5.311688, 0.877493
12, 8.000000, 4.000000, 6.012658, 0.993487
13, 9.000000, 4.000000, 5.761905, 1.147223
14, 10.000000, 4.000000, 6.068182, 1.266686
15, 10.000000, 4.000000, 6.147727, 1.246049
16, 10.000000, 4.000000, 6.718750, 1.526628
17, 10.000000, 4.000000, 7.285714, 1.649742
18, 10.000000, 4.000000, 7.250000, 1.689988
19, 10.000000, 4.000000, 7.300000, 1.520898
20, 10.000000, 4.000000, 7.260000, 1.453800
21, 10.000000, 4.000000, 7.353535, 1.520695
22, 10.000000, 4.000000, 7.618557, 1.623033
23, 10.000000, 5.000000, 7.785714, 1.473127
24, 10.000000, 5.000000, 7.752577, 1.472179
25, 10.000000, 5.000000, 7.989796, 1.495663
26, 10.000000, 5.000000, 7.760000, 1.511705
27, 10.000000, 5.000000, 8.060606, 1.490228
28, 10.000000, 5.000000, 7.949495, 1.534460
29, 10.000000, 5.000000, 8.295918, 1.500578
30, 10.000000, 6.000000, 8.346939, 1.400310
31, 10.000000, 6.000000, 8.232323, 1.383786
32, 10.000000, 6.000000, 8.346939, 1.458018
33, 10.000000, 6.000000, 8.567010, 1.257537
34, 10.000000, 6.000000, 8.600000, 1.428427
35, 10.000000, 6.000000, 8.636364, 1.343575
36, 10.000000, 6.000000, 8.700000, 1.321921
37, 10.000000, 6.000000, 8.887755, 1.174318
38, 10.000000, 6.000000, 8.910000, 1.198442
39, 10.000000, 6.000000, 8.890000, 1.246368
40, 10.000000, 6.000000, 8.800000, 1.340888
41, 10.000000, 6.000000, 8.969697, 1.181961
42, 10.000000, 6.000000, 8.890000, 1.262473
43, 10.000000, 6.000000, 9.070707, 1.153986
44, 10.000000, 6.000000, 9.050000, 1.320965
45, 10.000000, 6.000000, 9.091837, 1.285019
46, 10.000000, 6.000000, 9.121212, 1.357314
47, 10.000000, 6.000000, 9.154639, 1.293737
48, 10.000000, 6.000000, 9.336735, 1.120970
49, 10.000000, 6.000000, 9.320000, 1.171031
50, 10.000000, 6.000000, 9.300000, 1.243163
51, 10.000000, 6.000000, 9.346939, 1.149648
52, 10.000000, 6.000000, 9.561224, 0.874216
53, 10.000000, 6.000000, 9.440000, 1.047556
54, 10.000000, 6.000000, 9.370000, 1.116045
55, 10.000000, 6.000000, 9.280000, 1.119885
56, 10.000000, 6.000000, 9.200000, 1.302678
57, 10.000000, 6.000000, 9.474227, 0.936447
58, 10.000000, 5.000000, 9.212121, 1.295776
59, 10.000000, 5.000000, 9.412371, 1.038354
60, 10.000000, 6.000000, 9.343434, 1.089482
61, 10.000000, 6.000000, 9.404040, 0.968053
62, 10.000000, 6.000000, 9.130000, 1.300000
63, 10.000000, 6.000000, 9.226804, 1.254203
64, 10.000000, 6.000000, 9.350515, 1.021042
65, 10.000000, 6.000000, 9.340000, 1.075156
66, 10.000000, 6.000000, 9.280000, 1.172755
67, 10.000000, 6.000000, 9.320000, 1.196628
68, 10.000000, 6.000000, 9.161616, 1.337886
69, 10.000000, 6.000000, 9.041237, 1.520126
70, 10.000000, 6.000000, 9.221053, 1.330325
71, 10.000000, 7.000000, 9.364583, 1.016908
72, 10.000000, 6.000000, 9.290000, 1.265669
73, 10.000000, 6.000000, 9.408163, 1.072974
74, 10.000000, 6.000000, 9.183673, 1.310913
75, 10.000000, 6.000000, 9.360825, 1.129026
76, 10.000000, 6.000000, 9.350515, 1.283235
77, 10.000000, 6.000000, 9.302083, 1.170873
78, 10.000000, 6.000000, 9.218750, 1.362684
79, 10.000000, 6.000000, 9.400000, 1.142971
80, 10.000000, 6.000000, 9.295918, 1.114193
81, 10.000000, 6.000000, 9.183673, 1.160758
82, 10.000000, 6.000000, 8.969697, 1.305049
83, 10.000000, 6.000000, 9.091837, 1.167310
84, 10.000000, 6.000000, 8.896907, 1.365379
85, 10.000000, 6.000000, 9.105263, 1.171230
86, 10.000000, 6.000000, 9.122449, 1.229075
87, 10.000000, 6.000000, 9.218750, 1.198272
88, 10.000000, 6.000000, 9.218750, 1.087761
89, 10.000000, 6.000000, 8.858586, 1.253649
90, 10.000000, 6.000000, 9.214286, 0.987029
91, 10.000000, 6.000000, 8.930000, 1.241171
92, 10.000000, 6.000000, 8.969697, 1.190563
93, 10.000000, 6.000000, 8.989796, 1.170909
94, 10.000000, 6.000000, 9.163265, 0.981204
95, 10.000000, 6.000000, 9.020000, 1.238931
96, 10.000000, 6.000000, 9.061224, 1.091828
97, 10.000000, 6.000000, 8.960000, 1.145214
98, 10.000000, 6.000000, 8.930000, 1.156929
99, 10.000000, 6.000000, 8.919192, 1.200993
100, 10.000000, 6.000000, 9.010101, 1.073759
101, 10.000000, 6.000000, 8.710000, 1.343108
102, 10.000000, 6.000000, 8.907216, 1.090513
103, 10.000000, 6.000000, 8.888889, 1.194280
104, 10.000000, 6.000000, 8.838384, 1.283387
105, 10.000000, 6.000000, 9.030612, 1.116457
106, 10.000000, 6.000000, 8.818182, 1.357997
107, 10.000000, 6.000000, 9.000000, 1.030158
108, 10.000000, 6.000000, 8.800000, 1.340888
109, 10.000000, 6.000000, 8.721649, 1.344296
110, 10.000000, 6.000000, 8.906250, 1.282088
111, 10.000000, 6.000000, 8.979381, 1.282733
112, 10.000000, 6.000000, 8.979167, 1.264738
113, 10.000000, 6.000000, 8.810000, 1.426269
114, 10.000000, 6.000000, 8.938776, 1.405558
115, 10.000000, 6.000000, 9.265306, 1.135655
116, 10.000000, 6.000000, 9.130000, 1.177697
117, 10.000000, 6.000000, 9.000000, 1.333333
118, 10.000000, 6.000000, 9.204082, 1.157309
119, 10.000000, 6.000000, 9.200000, 1.145919
120, 10.000000, 6.000000, 9.020000, 1.255131
121, 10.000000, 6.000000, 8.830000, 1.400253
122, 10.000000, 6.000000, 8.816327, 1.310913
123, 10.000000, 6.000000, 8.580000, 1.464599
124, 10.000000, 6.000000, 8.835052, 1.204855
125, 10.000000, 6.000000, 8.470000, 1.473366
126, 10.000000, 6.000000, 8.583333, 1.411730
127, 10.000000, 6.000000, 8.430000, 1.492439
128, 10.000000, 6.000000, 8.490000, 1.480479
129, 10.000000, 6.000000, 8.460000, 1.410065
130, 10.000000, 6.000000, 8.320000, 1.413356
131, 10.000000, 6.000000, 8.470000, 1.336776
132, 10.000000, 6.000000, 8.120000, 1.479011
133, 10.000000, 6.000000, 8.257732, 1.363806
134, 10.000000, 6.000000, 8.134021, 1.440695
135, 10.000000, 6.000000, 8.463918, 1.414669
136, 10.000000, 6.000000, 8.387755, 1.382010
137, 10.000000, 6.000000, 8.360000, 1.473812
138, 10.000000, 6.000000, 8.460000, 1.452410
139, 10.000000, 6.000000, 8.390000, 1.490000
140, 10.000000, 6.000000, 8.320000, 1.575571
141, 10.000000, 6.000000, 8.278351, 1.491240
142, 10.000000, 6.000000, 8.216495, 1.480616
143, 10.000000, 6.000000, 8.391753, 1.319380
144, 10.000000, 6.000000, 8.460000, 1.351542
145, 10.000000, 6.000000, 8.414141, 1.317156
146, 10.000000, 6.000000, 8.320000, 1.278256
147, 10.000000, 6.000000, 8.340000, 1.296616
148, 10.000000, 6.000000, 8.460000, 1.305931
149, 10.000000, 6.000000, 8.460000, 1.358995
150, 10.000000, 6.000000, 8.581633, 1.331021
151, 10.000000, 6.000000, 8.656566, 1.230245
152, 10.000000, 6.000000, 8.670000, 1.295330
153, 10.000000, 6.000000, 8.930000, 1.216511
154, 10.000000, 6.000000, 8.890000, 1.246368
155, 10.000000, 6.000000, 8.990000, 1.234970
156, 10.000000, 6.000000, 8.900000, 1.306549
157, 10.000000, 6.000000, 8.900000, 1.344649
158, 10.000000, 6.000000, 8.930000, 1.312373
159, 10.000000, 6.000000, 8.900000, 1.321921
160, 10.000000, 6.000000, 9.050000, 1.225775
161, 10.000000, 6.000000, 9.050000, 1.305582
162, 10.000000, 6.000000, 9.110000, 1.254447
163, 10.000000, 6.000000, 9.070000, 1.312373
164, 10.000000, 6.000000, 9.190000, 1.276794
165, 10.000000, 6.000000, 9.180000, 1.258346
166, 10.000000, 6.000000, 9.190000, 1.315755
167, 10.000000, 6.000000, 9.260000, 1.260271
168, 10.000000, 6.000000, 9.250000, 1.217507
169, 10.000000, 6.000000, 9.330000, 1.155182
170, 10.000000, 6.000000, 9.370000, 1.069834
171, 10.000000, 6.000000, 9.480000, 1.077596
172, 10.000000, 6.000000, 9.570000, 1.007597
173, 10.000000, 6.000000, 9.680000, 0.930732
174, 10.000000, 6.000000, 9.640000, 1.059064
175, 10.000000, 6.000000, 9.710000, 0.913369
176, 10.000000, 6.000000, 9.480000, 1.259148
177, 10.000000, 6.000000, 9.440000, 1.289585
178, 10.000000, 6.000000, 9.390000, 1.317290
179, 10.000000, 6.000000, 9.470000, 1.266946
180, 10.000000, 6.000000, 9.390000, 1.294081
181, 10.000000, 6.000000, 9.270000, 1.369620
182, 10.000000, 6.000000, 9.260000, 1.404322
183, 10.000000, 6.000000, 9.360000, 1.298951
184, 10.000000, 6.000000, 9.470000, 1.209850
185, 10.000000, 6.000000, 9.580000, 1.102614
186, 10.000000, 6.000000, 9.770000, 0.814701
187, 10.000000, 6.000000, 9.720000, 0.899832
188, 10.000000, 6.000000, 9.810000, 0.720480
189, 10.000000, 6.000000, 9.830000, 0.569512
190, 10.000000, 6.000000, 9.840000, 0.563539
191, 10.000000, 6.000000, 9.870000, 0.485237
192, 10.000000, 6.000000, 9.830000, 0.620443
193, 10.000000, 6.000000, 9.830000, 0.620443
194, 10.000000, 6.000000, 9.820000, 0.625712
195, 10.000000, 6.000000, 9.880000, 0.477367
196, 10.000000, 6.000000, 9.730000, 0.862870
197, 10.000000, 6.000000, 9.830000, 0.569512
198, 10.000000, 6.000000, 9.770000, 0.736563
199, 10.000000, 6.000000, 9.760000, 0.740188
200, 10.000000, 6.000000, 9.750000, 0.743660
201, 10.000000, 6.000000, 9.650000, 0.914253
202, 10.000000, 6.000000, 9.470000, 1.209850
203, 10.000000, 6.000000, 9.816327, 0.524590
204, 10.000000, 6.000000, 9.810000, 0.630776
205, 10.000000, 6.000000, 9.820000, 0.625712
206, 10.000000, 6.000000, 9.420000, 1.256739
207, 10.000000, 6.000000, 9.597938, 0.996450
208, 10.000000, 6.000000, 9.350515, 1.315304
209, 10.000000, 6.000000, 9.385417, 1.276259
210, 10.000000, 6.000000, 9.583333, 1.062932
211, 10.000000, 6.000000, 9.628866, 0.992887
212, 10.000000, 6.000000, 9.836735, 0.511595
213, 10.000000, 6.000000, 9.660000, 0.976698
214, 10.000000, 6.000000, 9.790000, 0.728843
215, 10.000000, 6.000000, 9.830000, 0.620443
216, 10.000000, 6.000000, 9.850000, 0.609272
217, 10.000000, 6.000000, 9.840000, 0.706678
218, 10.000000, 6.000000, 9.900000, 0.577350
219, 10.000000, 6.000000, 9.860000, 0.696601
220, 10.000000, 6.000000, 9.780000, 0.882833
221, 10.000000, 6.000000, 9.939394, 0.424220
222, 10.000000, 6.000000, 9.880000, 0.590839
223, 10.000000, 6.000000, 9.650000, 1.095215
224, 10.000000, 9.000000, 9.948980, 0.221171
225, 10.000000, 6.000000, 9.870000, 0.597216
226, 10.000000, 6.000000, 9.700000, 0.969223
227, 10.000000, 6.000000, 9.929293, 0.434542
